iter	Passed	Remaining
312	11555	173043
313	11603	173163
314	11683	173768
315	11718	173708
316	11746	173534
317	11773	173341
318	11796	173103
319	11818	172852
320	11840	172584
321	11942	173501
322	11976	173413
323	12004	173243
324	12029	173039
325	12052	172797
326	12074	172550
327	12097	172315
328	12187	173039
329	12230	173077
330	12258	172920
331	12285	172743
332	12310	172533
333	12334	172309
334	12357	172082
335	12424	172461
336	12480	172696
337	12508	172521
338	12533	172329
339	12556	172096
340	12578	171859
341	12676	172653
342	12712	172601
343	12737	172399
344	12762	172199
345	12786	171988
346	12809	171759
347	12833	171556
348	12891	171802
349	12967	172286
350	13002	172219
351	13030	172060
352	13058	171910
353	13081	171690
354	13103	171457
355	13126	171236
356	13176	171365
357	13258	171911
358	13290	171811
359	13320	171688
360	13346	171511
361	13371	171313
362	13395	171110
363	13418	170907
364	13445	170741
365	13540	171435
366	13575	171380
367	13603	171224
368	13627	171031
369	13652	170836
370	13674	170617
371	13697	170409
372	13778	170924
373	13842	171211
374	13874	171114
375	13900	170940
376	13926	170772
377	13952	170607
378	13974	170385
379	13996	170164
380	14095	170879
381	14129	170810
382	14158	170672
383	14180	170462
384	14205	170276
385	14231	170119
386	14253	169903
387	14299	169972
388	14374	170388
389	14406	170295
390	14432	170129
391	14454	169919
392	14479	169733
393	14501	169531
394	14523	169318
395	14576	169464
396	14646	169820
397	14682	169767
398	14708	169603
399	14732	169421
400	14756	169236
